Local: ,10-Dec-20,07:15:26 PM,tz_sec ,19800
Linux Epoch (ms): ,1607607926000
,SLOT F
,Ch2
Epoch Delta TS,D2,S2
1440.125,0,399791
1440.125,0,399756
1452.125,0,399747
1452.125,0,399734
1452.125,0,399710
1452.125,0,399782
1452.125,0,399739
1452.125,0,399740
1464.125,0,399728
1464.125,0,399778
1464.125,0,399746
1464.125,0,399726
1464.125,0,399752
1464.125,0,399737
1476.125,0,399745
1476.125,0,399784
1476.125,0,399756
1476.125,0,399754
1476.125,0,399714
1476.125,0,399759
1488.125,0,399725
1488.125,0,399707
1488.125,0,399752
1488.125,0,399748
1488.125,0,399748
1488.125,0,399744
1500.125,0,399730
1500.125,0,399750
1500.125,0,399721
1500.125,0,399707
1500.125,0,399743
1500.125,0,399728
1512.125,0,399732
1512.125,0,399727
1512.125,0,399732
1512.125,0,399673
1512.125,0,399698
1512.125,0,399700
1524.125,0,399730
1524.125,0,399706
1524.125,0,399717
1524.125,0,399710
1524.125,0,399747
1524.125,0,399734
1536.125,0,399676
1536.125,0,399744
1536.125,0,399758
1536.125,0,399710
1536.125,0,399722
1536.125,0,399683
1548.156,0,399695
1548.156,0,399695
1548.156,0,399733
1548.156,0,399712
1548.156,0,399727
1548.156,0,399734
1560.094,0,399728
1560.094,0,399735
1560.094,0,399719
1560.094,0,399713
1560.094,0,399703
1560.094,0,399719
1572.125,0,399715
1572.125,0,399717
1572.125,0,399664
1572.125,0,399719
1572.125,0,399684
1572.125,0,399701
1584.125,0,399689
1584.125,0,399677
1584.125,0,399714
1584.125,0,399702
1584.125,0,399720
1584.125,0,399707
1596.125,0,399700
1596.125,0,399743
1596.125,0,399681
1596.125,0,399692
1596.125,0,399725
1596.125,0,399746
1608.125,0,399709
1608.125,0,399695
1608.125,0,399718
1608.125,0,399704
1608.125,0,399673
1608.125,0,399729
1620.125,0,399709
1620.125,0,399683
1620.125,0,399727
1620.125,0,399703
1620.125,0,399711
1620.125,0,399707
1632.125,0,399692
1632.125,0,399653
1632.125,0,399658
1632.125,0,399668
1632.125,0,399657
1632.125,0,399681
1644.125,0,399700
1644.125,0,399661
1644.125,0,399649
1644.125,0,399655
1644.125,0,399694
1644.125,0,399728
1656.156,0,399698
1656.156,0,399636
1656.156,0,399695
1656.156,0,399669
1656.156,0,399658
1656.156,0,399677
1668.125,0,399650
1668.125,0,399680
1668.125,0,399672
1668.125,0,399695
1668.125,0,399656
1668.125,0,399675
1680.125,0,399666
1680.125,0,399707
1680.125,0,399667
1680.125,0,399659
1680.125,0,399693
1680.125,0,399678
1692.125,0,399690
1692.125,0,399700
1692.125,0,399683
1692.125,0,399705
1692.125,0,399694
1692.125,0,399683
1704.125,0,399683
1704.125,0,399707
1704.125,0,399696
1704.125,0,399683
1704.125,0,399653
1704.125,0,399659
1716.125,0,399663
1716.125,0,399687
1716.125,0,399700
1716.125,0,399691
1716.125,0,399690
1716.125,0,399708
1728.125,0,399694
1728.125,0,399661
1728.125,0,399708
1728.125,0,399698
1728.125,0,399667
1728.125,0,399701
1740.125,0,399675
1740.125,0,399649
1740.125,0,399658
1740.125,0,399659
1740.125,0,399680
1740.125,0,399690
1752.125,0,399671
1752.125,0,399643
1752.125,0,399726
1752.125,0,399673
1752.125,0,399659
1752.125,0,399636
1764.156,0,399680
1764.156,0,399684
1764.156,0,399668
1764.156,0,399663
1764.156,0,399672
1764.156,0,399669
1776.125,0,399647
1776.125,0,399622
1776.125,0,399671
1776.125,0,399680
1776.125,0,399690
1776.125,0,399692
1788.125,0,399704
1788.125,0,399690
1788.125,0,399668
1788.125,0,399657
1788.125,0,399723
